Id,FixHex,OemHex,FixDelta[ns],OemDelta[ns],OemMinusFix[ns],SameByte
311,FF,FF,49597850.00,49425950.00,-171900.00,1
312,FF,FF,10950.00,10950.00,0.00,1
313,02,0D,10950.00,10950.00,0.00,0
314,04,04,10950.00,10950.00,0.00,1
315,02,02,10950.00,11000.00,50.00,1
316,38,38,10950.00,10950.00,0.00,1
317,11,11,45800.00,77750.00,31950.00,1
318,AE,A3,49800.00,82750.00,32950.00,0
319,FF,FF,26350.00,43950.00,17600.00,1
320,FF,FF,9900.00,10000.00,100.00,1
321,02,0D,9900.00,9950.00,50.00,0
322,13,13,9850.00,9950.00,100.00,1
323,00,00,9900.00,9950.00,50.00,1
324,02,CC,9900.00,10000.00,100.00,0
325,00,08,9900.00,9950.00,50.00,0
326,00,00,9850.00,9950.00,100.00,1
327,00,00,9900.00,10000.00,100.00,1
328,01,00,9900.00,9950.00,50.00,0
329,00,00,9850.00,9950.00,100.00,1
330,78,7A,9900.00,10000.00,100.00,0
331,00,19,9900.00,9950.00,50.00,0
332,00,00,9850.00,9950.00,100.00,1
333,00,00,9900.00,10000.00,100.00,1
334,00,00,9900.00,9950.00,50.00,1
335,01,CC,9900.00,9950.00,50.00,0
336,00,08,9850.00,10000.00,150.00,0
337,00,00,9900.00,9950.00,50.00,1
338,00,00,9900.00,9950.00,50.00,1
339,00,00,9850.00,10000.00,150.00,1
340,00,00,9900.00,9950.00,50.00,1
341,6E,A4,9900.00,9950.00,50.00,0
342,FF,FF,50087700.00,49709800.00,-377900.00,1
343,FF,FF,10950.00,10950.00,0.00,1
344,02,0D,10950.00,10950.00,0.00,0
345,04,04,11000.00,10950.00,-50.00,1
346,02,02,10950.00,10950.00,0.00,1
347,38,38,10950.00,11000.00,50.00,1
348,11,11,56800.00,47800.00,-9000.00,1
349,AE,A3,122600.00,151400.00,28800.00,0
350,FF,FF,26050.00,41400.00,15350.00,1
351,FF,FF,9900.00,9950.00,50.00,1
352,02,0D,9900.00,10000.00,100.00,0
353,13,13,9850.00,9950.00,100.00,1
354,00,00,9900.00,9950.00,50.00,1
355,02,CC,9900.00,10000.00,100.00,0
356,00,08,9850.00,9950.00,100.00,0
357,00,00,9900.00,9950.00,50.00,1
358,00,00,9900.00,9950.00,50.00,1
359,01,00,9850.00,10000.00,150.00,0
360,00,00,9900.00,9950.00,50.00,1
361,78,7A,9900.00,9950.00,50.00,0
362,00,19,9900.00,9950.00,50.00,0
363,00,00,9850.00,10000.00,150.00,1
364,00,00,9900.00,9950.00,50.00,1
365,00,00,9900.00,9950.00,50.00,1
366,01,CC,9850.00,10000.00,150.00,0
367,00,08,9900.00,9950.00,50.00,0
368,00,00,9900.00,9950.00,50.00,1
369,00,00,9850.00,9950.00,100.00,1
370,00,00,9900.00,10000.00,100.00,1
371,00,00,9900.00,9950.00,50.00,1
372,6E,A4,9900.00,9950.00,50.00,0
373,FF,00,49135550.00,46447300.00,-2688250.00,0
374,FF,FF,10950.00,3328400.00,3317450.00,1
375,02,FF,10950.00,10950.00,0.00,0
376,04,0D,10950.00,10950.00,0.00,0
377,02,04,11000.00,10950.00,-50.00,0
378,38,02,10950.00,11000.00,50.00,0
