Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
373,CE,00,12800.00,46447300.00,46434500.00,0
374,FF,FF,49175900.00,3328400.00,-45847500.00,1
375,FF,FF,10950.00,10950.00,0.00,1
376,02,0D,10950.00,10950.00,0.00,0
377,04,04,10950.00,10950.00,0.00,1
378,02,02,11000.00,11000.00,0.00,1
379,38,38,10950.00,10950.00,0.00,1
380,11,11,115550.00,68750.00,-46800.00,1
381,AE,A3,127600.00,155400.00,27800.00,0
382,FF,FF,58400.00,41650.00,-16750.00,1
383,FF,FF,12800.00,9950.00,-2850.00,1
384,02,0D,12850.00,9950.00,-2900.00,0
385,13,13,12850.00,9950.00,-2900.00,1
386,00,00,12800.00,10000.00,-2800.00,1
387,00,CC,12850.00,9950.00,-2900.00,0
388,00,08,12850.00,9950.00,-2900.00,0
389,00,00,12850.00,10000.00,-2850.00,1
390,80,00,12800.00,9950.00,-2850.00,0
391,1F,00,12850.00,9950.00,-2900.00,0
392,04,00,12850.00,10000.00,-2850.00,0
393,78,7A,12850.00,9950.00,-2900.00,0
394,00,19,12800.00,9950.00,-2850.00,0
395,00,00,12850.00,9950.00,-2900.00,1
396,00,00,12850.00,10000.00,-2850.00,1
397,00,00,12850.00,9950.00,-2900.00,1
398,01,CC,12800.00,9950.00,-2850.00,0
399,00,08,13850.00,9950.00,-3900.00,0
400,00,00,12850.00,10000.00,-2850.00,1
401,00,00,12800.00,9950.00,-2850.00,1
402,00,00,12850.00,9950.00,-2900.00,1
403,00,00,12850.00,10000.00,-2850.00,1
404,CE,A4,12850.00,9950.00,-2900.00,0
405,FF,FF,49176300.00,49175750.00,-550.00,1
406,FF,FF,10950.00,10950.00,0.00,1
407,02,0D,10950.00,10950.00,0.00,0
408,04,04,10950.00,11000.00,50.00,1
409,02,02,11000.00,10950.00,-50.00,1
410,38,38,10950.00,10950.00,0.00,1
411,11,11,83650.00,86750.00,3100.00,1
412,AE,A3,126550.00,120600.00,-5950.00,0
413,FF,FF,36150.00,42700.00,6550.00,1
414,FF,FF,12850.00,9950.00,-2900.00,1
415,02,0D,12850.00,10000.00,-2850.00,0
416,13,13,12800.00,9950.00,-2850.00,1
417,00,00,12850.00,9950.00,-2900.00,1
418,00,CC,12850.00,10000.00,-2850.00,0
419,00,08,12850.00,9950.00,-2900.00,0
420,00,00,12800.00,9950.00,-2850.00,1
421,80,00,12850.00,10000.00,-2850.00,0
422,1F,00,12850.00,9950.00,-2900.00,0
423,04,00,12850.00,9950.00,-2900.00,0
424,78,7A,12850.00,10000.00,-2850.00,0
425,00,19,12800.00,9950.00,-2850.00,0
426,00,00,12850.00,9950.00,-2900.00,1
427,00,00,12850.00,10000.00,-2850.00,1
428,00,00,12850.00,9950.00,-2900.00,1
429,01,CC,12850.00,9950.00,-2900.00,0
430,00,08,12800.00,10000.00,-2800.00,0
431,00,00,12850.00,9950.00,-2900.00,1
432,00,00,12850.00,9950.00,-2900.00,1
433,00,00,12850.00,10000.00,-2850.00,1
434,00,00,12800.00,9950.00,-2850.00,1
435,CE,A4,12850.00,9950.00,-2900.00,0
436,FF,FF,49400900.00,49338250.00,-62650.00,1
437,FF,FF,10950.00,11000.00,50.00,1
438,02,0D,10950.00,10950.00,0.00,0
439,04,04,10950.00,10950.00,0.00,1
440,02,02,11000.00,10950.00,-50.00,1
441,38,38,10950.00,11000.00,50.00,1
442,11,11,93650.00,94650.00,1000.00,1
443,AE,A3,104600.00,140550.00,35950.00,0
444,FF,FF,57350.00,50050.00,-7300.00,1
445,FF,FF,12800.00,9950.00,-2850.00,1
446,02,0D,12850.00,9950.00,-2900.00,0
447,13,13,12850.00,10000.00,-2850.00,1
448,00,00,12850.00,9950.00,-2900.00,1
449,00,CC,12800.00,9950.00,-2850.00,0
450,00,08,12850.00,10000.00,-2850.00,0
451,00,00,12850.00,9950.00,-2900.00,1
452,80,00,12850.00,9950.00,-2900.00,0
453,1F,00,12800.00,10000.00,-2800.00,0
454,04,00,12850.00,9950.00,-2900.00,0
455,78,7A,12850.00,9950.00,-2900.00,0
456,00,19,12850.00,10000.00,-2850.00,0
457,00,00,12850.00,9950.00,-2900.00,1
458,00,00,12800.00,9950.00,-2850.00,1
459,00,00,12850.00,10000.00,-2850.00,1
460,01,CC,12850.00,9950.00,-2900.00,0
461,00,08,12850.00,9950.00,-2900.00,0
