Id,OldHex,FixHex,OemHex,VirtHex,OldDelta[ns],FixDelta[ns],OemDelta[ns],VirtDelta[ns],FixMinusOld[ns],OemMinusFix[ns],VirtMinusFix[ns]
250,FF,FF,FF,FF,49126250.00,10950.00,10950.00,11000.00,-49115300.00,0.00,50.00
251,FF,02,0D,03,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
252,02,04,04,04,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
253,04,02,02,02,11000.00,10950.00,11000.00,10950.00,-50.00,50.00,0.00
254,02,38,38,38,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
255,38,11,11,11,10950.00,30850.00,79750.00,71750.00,19900.00,48900.00,40900.00
256,11,AE,A3,AD,116600.00,70750.00,139550.00,163400.00,-45850.00,68800.00,92650.00
257,AE,FF,FF,FF,102650.00,35400.00,43050.00,42550.00,-67250.00,7650.00,7150.00
258,FF,FF,FF,FF,56650.00,9900.00,9950.00,9950.00,-46750.00,50.00,50.00
259,FF,02,0D,03,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
260,02,13,13,13,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
261,13,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
262,00,02,CC,6F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
263,00,08,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
264,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
265,00,80,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
266,80,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
267,1F,00,00,00,12850.00,9850.00,10000.00,10000.00,-3000.00,150.00,150.00
268,04,78,7A,7A,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
269,78,00,19,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
270,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
271,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
272,00,00,00,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
273,00,00,CC,6F,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
274,01,08,08,07,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
275,00,00,00,9E,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
276,00,00,00,03,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
277,00,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
278,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
279,00,E0,A4,E2,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
280,CE,FF,FF,FF,12800.00,61690850.00,49452400.00,49305900.00,61678050.00,-12238450.00,-12384950.00
281,FF,FF,FF,FF,49446600.00,10950.00,11000.00,10950.00,-49435650.00,50.00,0.00
282,FF,02,0D,03,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
283,02,04,04,04,10950.00,11000.00,10950.00,11000.00,50.00,-50.00,0.00
284,04,02,02,02,11000.00,10950.00,11000.00,10950.00,-50.00,50.00,0.00
285,02,38,38,38,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
286,38,11,11,11,10950.00,56800.00,19900.00,63800.00,45850.00,-36900.00,7000.00
287,11,AE,A3,AD,63800.00,79750.00,84750.00,131600.00,15950.00,5000.00,51850.00
288,AE,FF,FF,FF,108650.00,56750.00,42750.00,43750.00,-51900.00,-14000.00,-13000.00
289,FF,FF,FF,FF,37250.00,9850.00,9950.00,9950.00,-27400.00,100.00,100.00
290,FF,02,0D,03,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
291,02,13,13,13,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
292,13,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
293,00,02,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
294,00,08,08,07,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
295,00,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
296,00,80,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
297,80,02,00,00,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
