Id,OursHex,OemHex,VirtHex,OursDelta[ns],OemDelta[ns],VirtDelta[ns],OemMinusOurs[ns],VirtMinusOurs[ns],VirtMinusOem[ns]
300,78,19,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
301,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
302,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
303,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
304,00,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
305,01,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
306,00,00,9E,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
307,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
308,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
309,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
310,00,A4,E2,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
311,CE,FF,FF,12850.00,49425950.00,49378700.00,49413100.00,49365850.00,-47250.00
312,FF,FF,FF,49456100.00,10950.00,11000.00,-49445150.00,-49445100.00,50.00
313,FF,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
314,02,04,04,10950.00,10950.00,11000.00,0.00,50.00,50.00
315,04,02,02,10950.00,11000.00,10950.00,50.00,0.00,-50.00
316,02,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
317,38,11,11,11000.00,77750.00,90700.00,66750.00,79700.00,12950.00
318,11,A3,AD,112600.00,82750.00,64750.00,-29850.00,-47850.00,-18000.00
319,AE,FF,FF,135500.00,43950.00,42750.00,-91550.00,-92750.00,-1200.00
320,FF,FF,FF,56200.00,10000.00,9950.00,-46200.00,-46250.00,-50.00
321,FF,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
322,02,13,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
323,13,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
324,00,CC,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
325,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
326,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
327,00,00,00,12800.00,10000.00,10000.00,-2800.00,-2800.00,0.00
328,80,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
329,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
330,04,7A,7A,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
331,78,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
332,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
333,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
334,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
335,00,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
336,01,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
337,00,00,9F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
338,00,00,03,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
