Id,SingleHex,MultiHex,SingleDelta[ns],MultiDelta[ns],DiffDelta[ns],SameByte
502,02,02,11000.00,10950.00,-50.00,1
503,38,38,10950.00,10950.00,0.00,1
504,11,11,99600.00,99650.00,50.00,1
505,AE,AE,110650.00,99700.00,-10950.00,1
506,FF,FF,56950.00,58300.00,1350.00,1
507,FF,FF,12850.00,12850.00,0.00,1
508,02,02,12850.00,12850.00,0.00,1
509,13,13,12850.00,12850.00,0.00,1
510,00,00,12850.00,12800.00,-50.00,1
511,00,00,12800.00,12850.00,50.00,1
512,00,00,12850.00,12850.00,0.00,1
513,00,00,12850.00,12850.00,0.00,1
514,80,00,12850.00,12800.00,-50.00,0
515,1F,20,12850.00,12850.00,0.00,0
516,04,04,12800.00,12850.00,50.00,1
517,78,78,12850.00,12850.00,0.00,1
518,00,00,12850.00,12800.00,-50.00,1
519,00,00,12850.00,12850.00,0.00,1
520,00,00,12850.00,12850.00,0.00,1
521,00,00,12800.00,12850.00,50.00,1
522,01,01,12850.00,12800.00,-50.00,1
523,00,00,12850.00,12850.00,0.00,1
524,00,00,12850.00,12850.00,0.00,1
525,00,00,12850.00,12850.00,0.00,1
526,00,00,12800.00,12800.00,0.00,1
527,00,00,12850.00,12850.00,0.00,1
528,CE,4D,12850.00,12850.00,0.00,0
529,FF,FF,50046800.00,48959950.00,-1086850.00,1
530,FF,FF,10950.00,10950.00,0.00,1
531,02,02,11000.00,11000.00,0.00,1
532,04,04,10950.00,10950.00,0.00,1
533,02,02,10950.00,10950.00,0.00,1
534,38,38,10950.00,10950.00,0.00,1
535,11,11,115600.00,64800.00,-50800.00,1
536,AE,AE,111700.00,129500.00,17800.00,1
537,FF,FF,37200.00,35700.00,-1500.00,1
538,FF,FF,12850.00,12850.00,0.00,1
539,02,02,12850.00,12850.00,0.00,1
540,13,13,12850.00,12850.00,0.00,1
541,00,00,12800.00,12800.00,0.00,1
542,00,00,12850.00,12850.00,0.00,1
543,00,00,12850.00,12850.00,0.00,1
544,00,00,12850.00,12850.00,0.00,1
545,80,00,12800.00,12850.00,50.00,0
546,1F,20,12850.00,12800.00,-50.00,0
547,04,04,12850.00,12850.00,0.00,1
548,78,78,12850.00,12850.00,0.00,1
549,00,00,12800.00,12850.00,50.00,1
550,00,00,12850.00,12850.00,0.00,1
551,00,00,12850.00,12850.00,0.00,1
552,00,00,12850.00,12800.00,-50.00,1
553,01,01,12800.00,12850.00,50.00,1
554,00,00,12850.00,12850.00,0.00,1
555,00,00,12850.00,12850.00,0.00,1
556,00,00,12850.00,12850.00,0.00,1
557,00,00,12800.00,12800.00,0.00,1
558,00,00,12850.00,12850.00,0.00,1
559,CE,4D,12850.00,12850.00,0.00,0
560,FF,FF,49306400.00,49099200.00,-207200.00,1
561,FF,FF,10950.00,10950.00,0.00,1
562,02,02,10950.00,11000.00,50.00,1
563,04,04,10950.00,10950.00,0.00,1
564,02,02,10950.00,10950.00,0.00,1
565,38,38,10950.00,10950.00,0.00,1
566,11,11,142450.00,117600.00,-24850.00,1
567,AE,AE,134450.00,149450.00,15000.00,1
568,FF,FF,57850.00,57700.00,-150.00,1
569,FF,FF,12850.00,12850.00,0.00,1
570,02,02,12850.00,12850.00,0.00,1
571,13,13,12850.00,12850.00,0.00,1
572,00,00,12800.00,12800.00,0.00,1
573,00,00,12850.00,12850.00,0.00,1
574,00,00,12850.00,12850.00,0.00,1
575,00,00,12850.00,12850.00,0.00,1
576,80,00,12800.00,12800.00,0.00,0
577,1F,20,12850.00,12850.00,0.00,0
578,04,04,12850.00,12850.00,0.00,1
579,78,78,12850.00,12850.00,0.00,1
580,00,00,12850.00,12800.00,-50.00,1
581,00,00,12800.00,12850.00,50.00,1
582,00,00,12850.00,12850.00,0.00,1
583,00,00,12850.00,12850.00,0.00,1
584,01,01,12850.00,12800.00,-50.00,1
585,00,00,12800.00,12850.00,50.00,1
586,00,00,12850.00,12850.00,0.00,1
587,00,00,12850.00,12850.00,0.00,1
588,00,00,12850.00,12850.00,0.00,1
589,00,00,12800.00,12800.00,0.00,1
590,CE,4D,12850.00,12850.00,0.00,0
591,FF,FF,49639300.00,49291200.00,-348100.00,1
592,FF,FF,10950.00,10950.00,0.00,1
593,02,02,10950.00,11000.00,50.00,1
594,04,04,10950.00,10950.00,0.00,1
595,02,02,11000.00,10950.00,-50.00,1
596,38,38,10950.00,10950.00,0.00,1
597,11,11,89700.00,92700.00,3000.00,1
598,AE,AE,109650.00,129550.00,19900.00,1
599,FF,FF,56550.00,57100.00,550.00,1
600,FF,FF,12850.00,12850.00,0.00,1
