from_id,to_id,from_time_ns,to_time_ns,delta_ns,delta_us,delta_ms,from_byte,to_byte
270,271,435456800.00,435469700.00,12900.00,12.900000,0.012900000,00,00
271,272,435469700.00,435482550.00,12850.00,12.850000,0.012850000,00,00
272,273,435482550.00,435495400.00,12850.00,12.850000,0.012850000,00,22
273,274,435495400.00,435508250.00,12850.00,12.850000,0.012850000,22,0B
274,275,435508250.00,435521150.00,12900.00,12.900000,0.012900000,0B,00
275,276,435521150.00,435534000.00,12850.00,12.850000,0.012850000,00,00
276,277,435534000.00,435546850.00,12850.00,12.850000,0.012850000,00,00
277,278,435546850.00,435559700.00,12850.00,12.850000,0.012850000,00,00
278,279,435559700.00,435572600.00,12900.00,12.900000,0.012900000,00,D9
279,280,435572600.00,484659400.00,49086800.00,49086.800000,49.086800000,D9,FF
280,281,484659400.00,484670400.00,11000.00,11.000000,0.011000000,FF,FF
281,282,484670400.00,484681400.00,11000.00,11.000000,0.011000000,FF,01
282,283,484681400.00,484692400.00,11000.00,11.000000,0.011000000,01,04
283,284,484692400.00,484703450.00,11050.00,11.050000,0.011050000,04,02
284,285,484703450.00,484714450.00,11000.00,11.000000,0.011000000,02,38
285,286,484714450.00,484738500.00,24050.00,24.050000,0.024050000,38,11
286,287,484738500.00,484795550.00,57050.00,57.050000,0.057050000,11,AF
287,288,484795550.00,484852300.00,56750.00,56.750000,0.056750000,AF,FF
288,289,484852300.00,484865150.00,12850.00,12.850000,0.012850000,FF,FF
289,290,484865150.00,484878000.00,12850.00,12.850000,0.012850000,FF,01
290,291,484878000.00,484890850.00,12850.00,12.850000,0.012850000,01,13
291,292,484890850.00,484903700.00,12850.00,12.850000,0.012850000,13,00
292,293,484903700.00,484916600.00,12900.00,12.900000,0.012900000,00,1C
293,294,484916600.00,484929450.00,12850.00,12.850000,0.012850000,1C,0B
294,295,484929450.00,484942300.00,12850.00,12.850000,0.012850000,0B,00
295,296,484942300.00,484955150.00,12850.00,12.850000,0.012850000,00,00
296,297,484955150.00,484968000.00,12850.00,12.850000,0.012850000,00,90
297,298,484968000.00,484980900.00,12900.00,12.900000,0.012900000,90,04
298,299,484980900.00,484993750.00,12850.00,12.850000,0.012850000,04,2C
299,300,484993750.00,485006600.00,12850.00,12.850000,0.012850000,2C,00
300,301,485006600.00,485019450.00,12850.00,12.850000,0.012850000,00,00
301,302,485019450.00,485032300.00,12850.00,12.850000,0.012850000,00,00
302,303,485032300.00,485045200.00,12900.00,12.900000,0.012900000,00,00
303,304,485045200.00,485058050.00,12850.00,12.850000,0.012850000,00,22
304,305,485058050.00,485070900.00,12850.00,12.850000,0.012850000,22,0B
305,306,485070900.00,485083750.00,12850.00,12.850000,0.012850000,0B,00
306,307,485083750.00,485096600.00,12850.00,12.850000,0.012850000,00,00
307,308,485096600.00,485109450.00,12850.00,12.850000,0.012850000,00,00
308,309,485109450.00,485122300.00,12850.00,12.850000,0.012850000,00,00
309,310,485122300.00,485135200.00,12900.00,12.900000,0.012900000,00,D7
310,311,485135200.00,534706500.00,49571300.00,49571.300000,49.571300000,D7,FF
311,312,534706500.00,534717500.00,11000.00,11.000000,0.011000000,FF,FF
312,313,534717500.00,534729550.00,12050.00,12.050000,0.012050000,FF,01
313,314,534729550.00,534740550.00,11000.00,11.000000,0.011000000,01,04
314,315,534740550.00,534751550.00,11000.00,11.000000,0.011000000,04,02
315,316,534751550.00,534762600.00,11050.00,11.050000,0.011050000,02,38
316,317,534762600.00,534795650.00,33050.00,33.050000,0.033050000,38,11
317,318,534795650.00,534873800.00,78150.00,78.150000,0.078150000,11,AF
318,319,534873800.00,534909900.00,36100.00,36.100000,0.036100000,AF,FF
319,320,534909900.00,534924750.00,14850.00,14.850000,0.014850000,FF,FF
320,321,534924750.00,534937600.00,12850.00,12.850000,0.012850000,FF,01
321,322,534937600.00,534950450.00,12850.00,12.850000,0.012850000,01,13
322,323,534950450.00,534963300.00,12850.00,12.850000,0.012850000,13,00
323,324,534963300.00,534976200.00,12900.00,12.900000,0.012900000,00,1C
324,325,534976200.00,534989050.00,12850.00,12.850000,0.012850000,1C,0B
325,326,534989050.00,535001900.00,12850.00,12.850000,0.012850000,0B,00
326,327,535001900.00,535014750.00,12850.00,12.850000,0.012850000,00,00
327,328,535014750.00,535027600.00,12850.00,12.850000,0.012850000,00,92
328,329,535027600.00,535040450.00,12850.00,12.850000,0.012850000,92,04
329,330,535040450.00,535053350.00,12900.00,12.900000,0.012900000,04,2C
330,331,535053350.00,535066200.00,12850.00,12.850000,0.012850000,2C,00
331,332,535066200.00,535079050.00,12850.00,12.850000,0.012850000,00,00
332,333,535079050.00,535091900.00,12850.00,12.850000,0.012850000,00,00
333,334,535091900.00,535104750.00,12850.00,12.850000,0.012850000,00,00
334,335,535104750.00,535117650.00,12900.00,12.900000,0.012900000,00,22
335,336,535117650.00,535130500.00,12850.00,12.850000,0.012850000,22,0B
336,337,535130500.00,535143350.00,12850.00,12.850000,0.012850000,0B,00
337,338,535143350.00,535156200.00,12850.00,12.850000,0.012850000,00,00
338,339,535156200.00,535169050.00,12850.00,12.850000,0.012850000,00,00
339,340,535169050.00,535181900.00,12850.00,12.850000,0.012850000,00,00
340,341,535181900.00,535194800.00,12900.00,12.900000,0.012900000,00,D5
341,342,535194800.00,584673100.00,49478300.00,49478.300000,49.478300000,D5,FF
342,343,584673100.00,584684100.00,11000.00,11.000000,0.011000000,FF,FF
343,344,584684100.00,584695100.00,11000.00,11.000000,0.011000000,FF,01
344,345,584695100.00,584706150.00,11050.00,11.050000,0.011050000,01,04
345,346,584706150.00,584717150.00,11000.00,11.000000,0.011000000,04,02
346,347,584717150.00,584728150.00,11000.00,11.000000,0.011000000,02,38
347,348,584728150.00,584739200.00,11050.00,11.050000,0.011050000,38,11
348,349,584739200.00,584795300.00,56100.00,56.100000,0.056100000,11,AF
349,350,584795300.00,584855200.00,59900.00,59.900000,0.059900000,AF,FF
350,351,584855200.00,584868100.00,12900.00,12.900000,0.012900000,FF,FF
351,352,584868100.00,584880950.00,12850.00,12.850000,0.012850000,FF,01
352,353,584880950.00,584893800.00,12850.00,12.850000,0.012850000,01,13
353,354,584893800.00,584906650.00,12850.00,12.850000,0.012850000,13,00
354,355,584906650.00,584919500.00,12850.00,12.850000,0.012850000,00,1C
355,356,584919500.00,584932400.00,12900.00,12.900000,0.012900000,1C,0B
356,357,584932400.00,584945250.00,12850.00,12.850000,0.012850000,0B,00
357,358,584945250.00,584958100.00,12850.00,12.850000,0.012850000,00,00
358,359,584958100.00,584970950.00,12850.00,12.850000,0.012850000,00,94
359,360,584970950.00,584983800.00,12850.00,12.850000,0.012850000,94,04
360,361,584983800.00,584996700.00,12900.00,12.900000,0.012900000,04,2C
361,362,584996700.00,585009550.00,12850.00,12.850000,0.012850000,2C,00
362,363,585009550.00,585022400.00,12850.00,12.850000,0.012850000,00,00
363,364,585022400.00,585035250.00,12850.00,12.850000,0.012850000,00,00
364,365,585035250.00,585048150.00,12900.00,12.900000,0.012900000,00,00
365,366,585048150.00,585061000.00,12850.00,12.850000,0.012850000,00,22
